Satır 1 | Bitcoin | 150.000 doları görecek | Yıl sonu
Satır 569 | Sui Network | 2.80 USD | 6 months
Satır 570 | Aptos | 30 doları görür | Yıl sonuna kadar
Satır 574 | Nvidia | 1450 dolar | Yıl sonuna kadar
Satır 575 | Microsoft |  | 6 ay
Satır 576 | Apple | 275 dolar | Sene sonuna kadar
Satır 577 | Alphabet hisseleri | %12 değer kazanacak | 3 ay
Satır 578 | Amazon | 225 dolar | Yıl sonuna kadar
Satır 580 | Tesla | 310 dolar | Yıl sonu
Satır 581 | Netflix | 780 dolar | 3 ay içinde
Satır 582 | Adobe | 720 | 6 ay içinde
Satır 584 | AMD | 230 dollar | kısa vadede
Satır 585 | Intel | 62 dolar | Yıl sonu
Satır 586 | Broadcom | 1550 | 3 ay içinde
Satır 587 | TSMC | 215 dolar | 6 ay içinde
Satır 588 | LVMH hisseleri | 920 Euro | Yıl sonuna kadar
Satır 590 | Ferrari hissesi | 480 Euro | 6 ay içinde
Satır 591 | Toyota |  | yıl sonuna kadar
Satır 592 | Samsung Electronics | %15 yükselir | 3 ayda
Satır 593 | Dolar/TL | 35.80 TL | 3 ay içinde
Satır 595 | Gram Altın | 3400 TL | Eylül sonuna kadar
Satır 596 | Ons Altın | 2850 dolar | yıl sonuna kadar
Satır 597 | Gümüş | 36 Dolar | 6 Ay içinde
Satır 598 | Brent Petrol | 92 dolar | Yıl sonu
Satır 599 | Doğalgaz fiyatları | %45 artar | Kış sonuna kadar
Satır 600 | ABD 10 yıllık tahvil faizi | %3.80 | 3 ayda
Satır 602 | BIST 100 endeksi |  | 6 ay içinde
Satır 603 | S&P 500 | 6100 puan olur | Yıl sonuna kadar
Satır 605 | Almanya Enflasyonu | %1.8'e düşer | Yıl sonuna kadar
Satır 606 | İngiltere Merkez Bankası | 50 baz puan indirir | Yıl sonuna kadar
Satır 607 | TCMB politikası fazı | %37.5 | Yıl sonunda
Satır 608 | Cari açık | 22 milyar dolara geriler | Yıl sonu
Satır 609 | Türkiye'nin ihracatı | 275 milyon dolar | 1 yıl içinde
Satır 610 | İşsizlik oranı | %8.6'ya düşer | Yıl sonunda
Satır 612 | Konut fiyatları | %30 artacak | Yıl sonuna kadar
Satır 613 |  | %15 | 6 ay içinde
Satır 619 | Dolar Endeksi | 102 puan | 3 ay içinde
Satır 622 | Portföyüm | 2 milyon TL sınırını aşacak | Yıl sonunda
Satır 624 | Bitcoin | 220.000 dolar seviyesine ulaşacak | 2027 başında
Satır 625 | Ethereum |  | Q3
Satır 626 | Solana | 600 doları | 1 yıl içinde
Satır 628 | Chainlink | 48 | Yıl sonuna kadar
Satır 629 | Polkadot | %35 değer kazanacak | 3 ay içinde
Satır 630 | Polygon | 2.50 dolar | None
Satır 631 | Arbitrum | 5.20 dolar | Yıl sonu
Satır 632 | Optimism | 8 doları aşacak | 6 ay içinde
Satır 633 | Sui Network | 3.50 $ | None
Satır 634 | Aptos | 28 doları | yıl sonuna kadar
Satır 635 | Celestia | %60 prim | öngörülen 6 ay
Satır 638 | Stacks | 7 doları aşar | 
Satır 639 | Render Token | 24 Dolar | 6 Ay içinde
Satır 641 | Worldcoin | 15 $ | 3 ay içinde
Satır 642 | Sei Network | 1.80 USD | Yıl sonu
Satır 645 | Blur | 1.50 dolar | Yıl sonuna kadar
Satır 646 | Arweave | 55 doları aşar | 6 ay içinde
Satır 648 | Mina Protocol | 2.20 dolar | 3 ay içinde
Satır 650 | ZetaChain | 3.50 dolar | yıl sonuna kadar
Satır 651 | Manta Network | %50 kazandırır | 3 ayda
Satır 652 | Starknet | 4.80 dolar | Yıl sonu
Satır 653 | LayerZero | 15 dolar | 
Satır 654 | THYAO hissesi | %5 yükselir | Önümüzdeki hafta
Satır 655 | Türkiyeye ait petrol ürünlerine ilişkin şirket (TUPRS) | 330 TL | Yıl sonu
Satır 656 | ASELS | direncini aşacak | kısa vadede
Satır 658 | Sasa hissesi | 110 TL | Yıl sonunda
Satır 660 | Sahol | 175 TL | yıl sonu
Satır 661 | BİMAS | 620 TL | 6 ay içinde
Satır 662 | MGROS | 850 TL | 
Satır 663 | SISE | 105 TL olacak | yıl sonuna kadar
Satır 666 | Doas | 420 TL olacak | 3 ay içinde
Satır 667 | FROTO | 1600 TL | 6 ay içinde
Satır 668 | TOASO | 480 TL | yıl sonuna kadar
Satır 670 | VESBE | 115 TL | Yıl sonu
Satır 672 | TCELL | 110 TL'i aşar | 3 ay içinde
Satır 673 | KRDMD | 60 TL | Yıl sonuna kadar
Satır 674 | PETKM | 38 TL olacak | 6 ay içinde
Satır 676 | KOZAL | 45 TL | Yıl sonu
Satır 677 | TKFen | 110 TL | 6 ay içinde
Satır 678 | Enkai | 75 TL | 3 ay içinde
Satır 679 | ALARK | 210 TL | yıl sonuna kadar
Satır 680 | Astor | 190 TL olacak | 6 ay içinde
Satır 681 | Kontr | 380 TL seviyesine | 
Satır 682 | SMRTG | 115 TL | yıl sonu
Satır 683 | Yeotk | 320 TL | 6 ay içinde
Satır 684 | Eupwr | 240 TL'yi aşar | 3 ay içinde
Satır 685 | Alfas | 185 TL | Yıl sonuna kadar
Satır 686 | CWENE | 420 TL | 6 ay içinde
Satır 688 | SDTTR | 650 TL | yıl sonu
Satır 689 | MIATK | 115 TL | 
Satır 691 | EBEBK | 110 TL olacak | yıl sonuna kadar
Satır 693 | KAYS | 55 TL | 3 ay
Satır 694 | ENERY | 260 TL | yıl sonu
Satır 695 | Taten | 90 TL | 6 ay içinde
Satır 696 | Cvent | 65 TL | 3 ay içinde
Satır 697 | BVSAN | 160 TL olur | Yıl sonuna kadar
Satır 698 | Koton | 55 TL | 6 ay içinde
Satır 699 | LİLAK | 38 TL'ye ulaşır | 3 ayda
Satır 700 | ALTNY | 180 TL | Yıl sonu
Satır 701 | HRKET | 130 TL | 6 ay içinde
Satır 702 | ENTRA | 22 TL | within 3 months
Satır 703 | PNSUT | 165 TL | yıl sonuna kadar
Satır 705 | Apple | 300 | Yıl sonuna kadar
Satır 706 | Dolar | 580 | 6 ay içinde
Satır 707 | Google | 230 doları aşar | 3 ay içinde
Satır 708 | Meta |  | Yıl sonuna kadar
Satır 709 | Amazon | 260 dolar | 6 ay içinde
Satır 710 | Tesla | 450 dolar | Yıl sonu
Satır 712 | Adobe | 740 dolar | Yıl sonuna kadar
Satır 714 | AMD | 260 dollar | 3 ayda
Satır 715 | Intel | 65 dolar | Yıl sonu
Satır 716 | Broadcom | 1700 Dolar | 6 ay içinde
Satır 717 | TSMC | 240 dollar | 3 ay içinde
Satır 719 | ARM | 240 dolar | 6 ay içinde
Satır 720 | Palantir | None | None
Satır 722 | Crowdsrike | 450 dolar | 6 ay içinde
Satır 723 | Palo Alto Networks | 480 dolar | 3 months
Satır 724 | Zscaler | 280 dolar | yıl sonuna kadar
Satır 725 | Datadog | 220 doları | 6 ay içinde
Satır 726 | MongoDB | $550 | 
Satır 727 | Coinbase | 480 dolar | Yıl sonu
Satır 728 | Microstrategy | 3500 Dolar | 6 ay içinde
Satır 729 | Disney | 180 doları aşar | 3 ay içinde
Satır 730 | Walmart | 95 dolar | yıl sonuna kadar
Satır 731 | Costco | 450 dolar | 6 ay içinde
Satır 733 | McDonalds | 360 dolar | Yıl sonu
Satır 735 | Pepsi | 215 doları | 3 ay içinde
Satır 736 | Visa | 380 dolar olacak | Yıl sonuna kadar
Satır 737 | Mastercard | 600 dolar | 6 ay içinde
Satır 738 | JP Morgan | 280 Dolar seviyesine ulaşır | 3 ayda
Satır 741 | Morgan Stanley | 140 TL aşar | 3 ay içinde
Satır 742 | Eli Lilly | 1150 dolar | yıl sonuna kadar
Satır 743 | Novo Nordisk | 180 Dolar | 6 ay içinde
Satır 744 | Dolar/TL | 38.50 TL | 6 ay içinde
Satır 745 | Euro/TL | 46.80 TL | yıl sonuna kadar
Satır 746 | Gram Altın | 3600 TL | 3 ay içinde
Satır 750 | Brent Petrol | 115 dolar | Kış sonuna kadar
Satır 751 | ABD Enflasyonu | %1.8 | 1 yıl içinde
Satır 752 | Türkiye Enflasyonu | %35 seviyesine iner | Yıl sonu
Satır 754 | TCMB faizleri | %32.5'e çeker | Yıl sonuna kadar
Satır 755 | EUR/USD Paritesi | 1.15 | 3 Ay İçinde
Satır 756 | GBP/USD | 1.35 | 6 ay içinde
Satır 757 | USD/JPY | 130 | yıl sonunda
Satır 759 | S&P 500 endeksi | 6500 puanı aşar | 6 ay içinde
Satır 760 | Nasdaq 100 | 24.500 puan | Yıl sonu
Satır 761 | Dax endeksi | %12 prim | 3 ayda
Satır 762 | Nikkei 225 | 52.000 puan | 6 ay içinde
Satır 763 | Bakır ton fiyatı | 13.000 dolar | Yıl sonunda
Satır 764 | Alüminyum | 3200 doları | 6 ay içinde
Satır 765 | Lityum fiyatları | %65 artış | 1 yılda
Satır 766 | Uranyum fiyatı | 180 dolar | Yıl sonuna kadar
Satır 767 | Buğday fiyatları | %30 yükselir | 6 ay içinde
Satır 768 | Mısır fiyatı | %20 değer kazanır | 3 ayda
Satır 769 | Kahve fiyatları | %40 artar | Yıl sonuna kadar
Satır 771 | Kakao | 11.000 dolar seviyesinde | Yıl sonuna kadar
Satır 772 | Pamuk fiyatı | 1.10 dolar | 3 ay içinde
Satır 773 | Portföyümün toplam değeri | 5 milyon TL | Yıl sonunda
Satır 774 | Nakit Oranı | %5'e düşayacak | 1 ay içinde
Satır 775 | Temettü | 250.000 TL | None
Satır 776 | Yatırım fonlarım | %130 getiri sağlar | 1 yıl içinde
Satır 777 | Konut fiyatları | %50 artmış | 2026 sonuna kadar
Satır 780 | Bireysel emeklilik fonu | %85 büyür | Yıl sonunda
Satır 781 | Halka Arz Portföyüm | %150 kazandırır | 1 yılda
Satır 782 | Gelirim | 5.000 dolar | Yıl sonuna kadar
Satır 783 | Bitcoin | %3 artışla | yarın sabah
Satır 784 | Borsa İstanbul | 11.200 puanın üzerinde | pazartesi günü
Satır 786 | ONS Altın | 2.700 Doları test eder | Hafta sonu kadar
Satır 787 | Ethereum staking | 2 ETH | yıl sonu
Satır 789 | Enflasyon verisi | %2 tepki verir | Borsa tepki verir
Satır 790 | Dolar Kuru | %1 geri çekilir | Faiz kararı sonrası
Satır 792 | Altın | 3100 dolar | Goldman Sachs'ın altın hedefi
Satır 793 | Analistlerin kâr beklentisi |  | 
Satır 794 | Faiz beklentisi | %35 | Bölüm 2: H1->2026-06-30, Q2->2026-06-30, H2->2026-12-31
Satır 795 | Euro | 48 TL | Yıl sonu
Satır 796 | Gümüş | 1 yılda 50 dolar | Yıl
Satır 797 | HSBC | %30 büyüme | hedef
Satır 798 | experts | %10 değer kaybı | beklenti
Satır 799 | BIST 30 endeksi | 14.500 puan olacak | Yıl sonunda
Satır 801 | Bitcoin | 110,000 dolar | Haziran sonuna kadar
Satır 801 | Ethereum | 5,500 dolar | Haziran sonuna kadar
Satır 803 | Dolar Kuru | 36.50 TL | July
Satır 803 | Dolar Kuru | 38.20 TL | September
Satır 804 | THYAO hissesi | 450 TL | 3 ayda
Satır 804 | THYAO hissesi | 600 TL | yıl sonunda
Satır 806 | Konut fiyatları | %15 artar | Yaz sonuna kadar
Satır 806 | Kredi hacmi | %20 daralır | None
Satır 807 | S&P 500 | 6.300 puanı | Yıl sonunda
Satır 807 | Nasdaq | 23.500 puanı | Yıl sonunda
Satır 808 | Faizler | 250 baz puan | Eylül
Satır 808 | Faizler | 500 baz puan | Aralık
Satır 809 | Altın | 2.800 dolar | kısa vadede
Satır 809 | Altın | 3.500 dolar | uzun vadede
Satır 810 | Apple hisseleri | %20 değer kazanır | 6 ayda
Satır 810 | Microsoft | %15 değer kazanır | None
Satır 811 | Asgari Ücret | 26.000 TL | Yıl sonunda
Satır 811 | Emekli Maaşı | 18.000 TL | Yıl sonunda
Satır 813 | Solana | 350 dolar | 3 ayda
Satır 813 | Solana | 550 dolar | Sene sonunda
Satır 814 | Borsa İstanbul | %1.5 yükselir | None
Satır 814 | Borsa İstanbul | %4 prim yapar | haftalık bazda
Satır 815 | Euro/TL | 41 TL | None
Satır 815 | Euro/TL | 45 TL | yıl sonunda
Satır 816 | Mevduat faizleri | %35'e düşerken | 6 ayda
Satır 816 | Borsa İstanbul | 15.000 puan | None
Satır 817 | Fonlar | %90 getiri sağlar | 1 yıl
Satır 817 | Hisselerim | %110 getiri sağlar | None
Satır 818 | Cari açık | 15 milyar dolar | yıl sonunda
Satır 818 | ihracat | 300 milyon dolar | yıl sonuna kadar
Satır 819 | Tesla | 250 dolar | Kısa vadede
Satır 819 | Tesla | 500 dolar | 2026 sonuna kadar
Satır 821 | BTC | %65'e çıkar | Yıl sonunda
Satır 821 | Altcoinler | %40 değer kaybeder | 
Satır 822 | Garanti BBVA | 140 TL | 6 ayda
Satır 822 | Akbank | 90 TL | None
Satır 823 | İstihdam oranı | %52'ye çıkar | Yıl sonunda
Satır 823 | Enflasyon | %30'ا düşer | 
Satır 825 | Koç Holding | 280 TL | Yıl sonunda
Satır 825 | Sabancı Holding | 130 TL | Yıl sonunda
Satır 826 | Konut kredisi faizleri | %1.5'e düşer | 1 yılda
Satır 826 | Satışlar | %50 artar | 
Satır 827 | Avax | 100 dolar | 3 ayda
Satır 827 | Avax | 160 dolar | Yıl sonunda
Satır 829 | TÜPERS 3 Ayda | 220 TL | 3 ayda
Satır 829 | EREGİL | 65 TL seviyesini test eder | None
Satır 830 | Elektrik fiyatları | %30 artar | Kışın
Satır 830 | Güneş enerjisi yatırımları | %100 büyür | None
Satır 832 | Kredi notumuz | None | None
Satır 833 | Aselsan | 110 TL | 
Satır 834 | Japon Yeni yıl | 0.32 TL | Yıl sonu
Satır 834 | Sterlin | 52 TL'yi geçer | 
Satır 835 | Bitcoin Cash | %60 artacak | Yıl
Satır 835 | Litecoin | %35 artacak | Yıl
Satır 836 | Otomobil fiyatları | ['%15 ucuzlar', '%25 artış gösterir'] | 6 ayda
Satır 837 | Amazon | 240 dolar | 6 ay
Satır 837 | Alphabet | 210 dolar | 6 ay
Satır 839 | Ford Otosan | 1.600 TL | Yıl
Satır 839 | Tofaş | 550 TL | Yıl
Satır 841 | Polygon | 2.20 dolar | 6 ayda
Satır 841 | Polygon | 3.50 dolar | Yıl sonunda
Satır 843 | Bütçe gelirleri | 6 trilyon TL | Yıl sonu
Satır 843 | Giderler | 7 trilyon TL | Yıl sonu
Satır 844 | LVMH hisseleri | %25 değer kazanır | 1 yılda
Satır 844 | Hermes | %15 değer kazanır | 1 yılda
Satır 845 | Gram gümüş | 45 TL | 6 ayda
Satır 845 | Gram gümüş | 55 TL | Yıl sonunda
Satır 846 | Arbitrum | 3.5 dolar | 3 ayda
Satır 846 | Arbitrum | 6 dolar | Yıl sonunda
Satır 847 | Yurt dışı borç faizi | %3 azalır | 1 yılda
Satır 847 | CDS primi | 150 puana iner | None
Satır 848 | Şişecam | 85 TL | kısa vadede
Satır 848 | Şişecam | 140 TL | orta vadede
Satır 849 | Kahve fiyatları | %25 zamlanır | 6 ayda
Satır 849 | Kakao fiyatları | %10 geriler | 
Satır 851 | Uranyum fiyatları | %50 artar | 1 yılda
Satır 851 | Nükleer enerji hisseleri | %80 yükselir | 
Satır 852 | Mavi Giyim | 200 TL | yıl sonu
Satır 852 | Vakko | 150 TL | yıl sonu
Satır 854 | Mevduat hacmi | %40 büyür | Yıl
Satır 854 | Kredi kartı borçluluğu | %15 azalır | Yıl
Satır 855 | MGROS | 750 TL | None
Satır 855 | BIMAS | 600 TL | None
Satır 856 | Dolar | 34.10 TL | yarın
Satır 856 | Dolar | 34.50 TL | hafta kapanışında
Satır 857 | Enflasyon hedefi | %15 | 2026
Satır 857 | Enflasyon hedefi | %8 | 2027
Satır 858 | TCMB rezervleri | 170 milyon dolar | Yıl sonu
Satır 858 | net rezervler | 60 milyon dolar | Yıl sonu
Satır 862 | AMD | 250 dolar | 6 ay
Satır 862 | Intel | 55 dolar | None
Satır 864 | Doğuş Otomotiv | 600 TL | 1 yıl
Satır 864 | None | %15'e çıkar | None
Satır 865 | Kardemir D | 60 TL | 6 ayda
Satır 865 | Ereğli Demir Çelik | 80 TL | 
Satır 866 | Konut fiyatları | %40 artış gösterir | 
Satır 866 | Konut fiyatları | %50 artış gösterir | 
Satır 868 | faiz oranları | %40 | Q3 sonu
Satır 868 | faiz oranları | %35 | Q4 sonu
Satır 870 | Arsa fiyatları | 2 katına | 
Satır 870 | Arsa fiyatları | %70 artış | 
Satır 871 | Altınay Savunma | 250 TL | 6 ayda
Satır 871 | SDT Savunma | 600 TL | None
Satır 872 | Astor | 160 TL | 
Satır 873 | DXY Endeksi | 100 puan düşecek | Yıl sonu
Satır 873 | Altın ons | 2.900 dolar olur | Yıl sonu
Satır 874 | Japon Yeni | %10 değer kazanır | Yıl
Satır 874 | Nikkei endeksi | %5 düşer | Yıl
Satır 875 | Petkim | 35 TL | Yıl sonunda
Satır 875 | Tüpraş | 280 TL | Yıl sonunda
Satır 876 | Apple iPhone | %10 artar | 
Satır 876 | Servis gelirleri | %20 büyüme kaydeder | 
Satır 878 | Uber hisseleri | %40 | 1 yılda
Satır 878 | Lyft hisseleri | %20 | 1 yılda
Satır 879 | Aselsan sipariş defteri | 15 milyar dolar (Revenue) | 1 year
Satır 880 | Hava yolu yolcu sayısı | %15 artar | 
Satır 880 | THYAO kârı | %25 yükselir | 
Satır 881 | Airbnb oda fiyatları | %20 artar | 
Satır 882 | Tesla teslimatları | 500 bin | Bu çeyrek
Satır 882 | Tesla teslimatları | 2 milyon adet | Yıl sonunda
Satır 883 | Ethereum staking ödülleri | %4'ü düşer | 
Satır 883 | yakılan miktar | %50 artar | 
Satır 884 | Visa işlem hacmi | %15 büyür | 1 yılda
Satır 884 | Kâr marjı | %55 olur | 
Satır 888 | Paladyum | 1.200 dolar | 6 ayda
Satır 889 | Mısır fiyatları | %10 Düşer | Hasat sonunda
Satır 889 | Soya fiyatları | %5 Artar | None
Satır 891 | Döviz borcu | yarısını (half) | 3 ayda (in 3 months)
Satır 891 | Döviz borcu | kalanını (the rest) | 6 ayda (in 6 months)
Satır 894 | BIST 100 günlük hacmi | 250 milyar TL olur | 
Satır 894 | yabancı payı | %45'е çıkar | 
Satır 899 | THYAO | 20 milyar dolar | 
Satır 899 | Pegasus | 5 milyar dolar | 
Satır 900 | Altın ons fiyatı | 2.650-2.680 dolar | Today and tomorrow
Satır 901 | Bitcoin | 100.000 dolar | Ay sonu
Satır 901 | Ethereum | 5.000 doları aşacak | Ay sonu
Satır 902 | Gram altın | 3.500 TL | 3 ay içinde
Satır 902 | Gram altın | 4.000 TL | Yıl sonunda
Satır 903 | Dolar Kuru | 36 TL (Haziran) | Haziran
Satır 903 | Dolar Kuru | 40 TL (Aralık) | Aralık
Satır 904 | THYAO hissesi | 400 TL | kısa vadede
Satır 904 | THYAO hissesi | 600 TL | orta vadede
Satır 905 | Enflasyon | %35'le düşecek | Yıl sonu
Satır 905 | Büyüme oranı | %4'le çıkacak | 
Satır 906 | Konut fiyatları | %20 artarken | 
Satır 906 | Kira fiyatları | %10 azalacak | 
Satır 907 | S&P 500 endeksi | 6.000 puanı | Yıl sonunda
Satır 907 | Nasdaq | 22.000 puanı | Yıl sonunda
Satır 908 | Faizler | %45'e geriler | 3 ay içinde
Satır 908 | Faizler | %30'a geriler | 1 yıl içinde
Satır 909 | Gümüş ons fiyatı | 35 dolar | Yaz sonunda
Satır 909 | Gümüş ons fiyatı | 45 dolar | Kış sonunda
Satır 910 | Apple hisseleri | %15 | 
Satır 910 | Nvidia hissedarı | %40 | 
Satır 911 | Asgari ücret | 25.000 TL | Yıl sonunda
Satır 911 |  Açlık sınırı | 20.000 TL'ye çıkar | Yıl sonunda
Satır 912 | Brent petrol | 90 dolar | 3 ay içinde
Satır 912 | Brent petrol | 110 dolar | 1 yıl içinde
Satır 913 | Solana | 250 dolar/Ay sonunda | Ay sonunda
Satır 913 | Solana | 500 dolar/Yıl sonu | Yıl sonu
Satır 914 | Borsa İstanbul | %2 yükselirken | yarın
Satır 914 | Borsa İstanbul | %5 prim yapar | hafta sonuna kadar
Satır 915 | Euro/TL | 40 TL | Haşan sonunda
Satır 915 | Euro/TL | 44 TL | Yıl sonunda
Satır 918 | Dış Ticaret Hacmi | 600 milyon dolar | Yıl sonunda
Satır 918 | Cari Açık | 20 milyar dolar | Yıl sonunda
Satır 919 | Tesla hissesi | 200 dolar | kısa vadede
Satır 919 | Tesla hissesi | 450 dolar | uzun vadede
Satır 920 | Et fiyatları | %15 zamlanırken | Ay sonunda
Satır 920 | Süt fiyatları | %10 artacak | Ay sonunda
Satır 922 | Garanti Bankası | 120 TL | 3 ayda
Satır 922 | Akbank | 80 TL | seviyesine ulaşır
Satır 923 | İşsizlik oranı | %8.5''e düşerken | Yıl sonunda
Satır 923 | İstihdam oranı | %50'ye çıkar | Yıl sonunda
Satır 924 | Ons altın | 2.700 dolar | 6 ay içinde
Satır 924 | Ons altın | 3.000 dolar | 1 yıl içinde
Satır 925 | KCHOL hissesi | 300 TL | yıl sonunda
Satır 925 | SAHOL hissesi | 150 TL | yıl sonunda
Satır 926 | Konut satışları | %15 artacak | Önümüzdeki çeyrekte
Satır 926 | Konut kredisi hacmi | %5 daralacak | 
Satır 927 | Avax | 80 dolar | 3 ay içinde
Satır 927 | Avax | 120 dolar | 6 ay içinde
Satır 929 | TUPRS | 250 TL | 
Satır 930 | Doğalgaz fiyatları | %25 artarken | kışın
Satır 930 | Elektrik fiyatları | %15 zamlanır | None
Satır 931 | Link | 25 dolar | 3 ayda
Satır 931 | Link | 50 dolar | 1 yılda
Satır 933 | ASELS hissesi | 100 TL | Kısa vadede
Satır 933 | ASELS hissesi | 150 TL | Orta vadede
Satır 936 | Otomobil fiyatları | %10 düşecek | Yıl sonu
Satır 938 | Çeyrek Altın | 6.000 TL | Yaz sonunda
Satır 938 | Çeyrek Altın | 7.000 TL | Yıl sonunda
Satır 939 | Ford Otosan | 1.300 TL olacak | 6 ay içinde
Satır 939 | Tofaş | 400 TL olacak | None
Satır 940 | Buğday fiyatları | %15 azalır | Hasat sonundan
Satır 940 | Ekmek fiyatları | %10 artar | 
Satır 942 | BIST Banka Endeksi | %40 | Yıl sonuna kadar
Satır 942 | Sanayi Endeksi | %25 | Yıl sonuna kadar
Satır 943 | Bütçe açığı | 500 milyar TL | Yıl sonu
Satır 943 | Vergi gelirleri | 5 trilyon TL'ye çıkar | Yıl sonu
Satır 945 | Gram | 35 TL | 3 ay içinde
Satır 945 | Gram | 50 TL | Yıl sonunda
Satır 946 | Arbitrum | 4 dolar olacak | Yıl sonunda
Satır 946 | Optimism | 8 dolar görür | Yıl sonunda
Satır 949 | Kahve fiyatları | %20 zamlanır | 3 ayda
Satır 949 | Şeker fiyatları | %5 düşer | 
Satır 950 | Nvidia | 4 trilyon dolar | Yıl sonunda
Satır 950 | Apple | 3.5 trilyon dolar | Yıl sonunda
Satır 951 | Bitcoin | 110.000 doları aşacak | Haziran sonunda
Satır 951 | Ethereum | 5.500 doları aşacak | Haziran sonunda
Satır 952 | Gram Altın | 4.200 TL | Yıl sonu
Satır 952 | Gram Gümüş | 65 TL'ye çıkar | Yıl sonu
Satır 954 | THYAO hissesi | 450 TL | 3 ayda
Satır 954 | THYAO hissesi | 600 TL | yıl sonunda
Satır 955 | Enflasyon | %38'ere gerilerken | Q3 sonundan
Satır 955 | İşsizlik oranı | %9 seviyesinde kalır | -
Satır 957 | S&P 500 | 6.300 puanı | yıl sonunda
Satır 957 | Nasdaq | 23.500 puanı | yıl sonunda
Satır 958 | Faizler | 250 baz puan | Eylül
Satır 958 | Faizler | 500 baz puan | Aralık
Satır 961 | Asgari Ücret | 26.000 TL | yıl sonu
Satır 961 | Emekli Maaşı | 18.000 TL | yıl sonu
Satır 962 | Brent petrol | 105 dolar | Kış
Satır 962 | Doğalgaz fiyatları | %40 zamlanır | None
Satır 963 | Solana | 350 dolar | 3 ayda
Satır 963 | Solana | 550 dolar | Sene sonunda
Satır 965 | Euro | 41 TL | None
Satır 965 | Euro | 45 TL | Yıl sonu
Satır 966 | Borsa İstanbul | 15.000 puan | 6 ayda
Satır 967 | Portföyümdeki fonlar | %90 getiri sağlar | 1 yılda
Satır 967 | hisselerim | %110 getiri sağlar | 1 yılda
Satır 968 | Cari açık | 15 milyar dolara iner | Yıl sonunda
Satır 968 | İhracat | 300 milyar dolar olur | 
Satır 969 | Tesla | 250 dolar | kısa vadede
Satır 969 | Tesla | 500 dolar | 2026 sonuna kadar
Satır 971 | BTC | %65 çıkar | Yıl sonu
Satır 971 | Altcoinler | %40 değer kaybeder | Yıl sonu
Satır 972 | Garanti BBVA | 140 TL | 
Satır 972 | Akbank | 90 TL | 
Satır 973 | İstihdam oranı | %52 | Yıl sonunda
Satır 973 | Enflasyon | %30 | 
Satır 975 | Koç Holding | 280 TL | yıl sonunda
Satır 975 | Sabancı Holding | 130 TL | yıl sonunda
Satır 976 | Konut kredisi faizleri | %1.5' e düşer | Yıl
Satır 976 | Satışlar | %50 artar | Yıl
Satır 977 | Avax | 100 dolar | 3 ayda
Satır 977 | Avax | 160 dolar | Yıl sonunda
Satır 978 | Dolar endeksi | 98 puana iner | 6 ayda
Satır 978 | EUR/USD paritesi | 1.16 olur | None
Satır 979 | TÜPERS | 220 TL | 3 ay
Satır 979 | EREGL | 65 TL | None
Satır 981 | Link | 40 dolar | 6 ay
Satır 981 | Link | 100 dolar | 2 yıl
Satır 982 | Kredi Notu | BB artı | Yıl sonu
Satır 983 | Aselsan | 110 TL | 
Satır 983 | Aselsan | 250 TL | 
Satır 984 | Japon Yeni | 0.32 TL | Yıl sonunda
Satır 984 | Sterlin | > 52 TL | 
Satır 986 | Otomobil fiyatları | %15 ucuzlar | 6 ayda
Satır 986 | Talep | %25 artış gösterir | 
Satır 987 | Amazon | 240 dolar | 6 ayda
Satır 987 | Alphabet | 210 dolar | None
Satır 988 | Çeyrek Altın | 6.500 TL | Ağustos
Satır 988 | Çeyrek Altın | 7.500 TL | Yıl sonu
Satır 989 | Ford Otosan | 1.600 TL | Yıl
Satır 989 | Tofaş | 550 TL | Yıl
Satır 990 | Buğday fiyatları | %25 artar | Yıl sonunda
Satır 990 | Gübre fiyatları | %10 düşer | 
Satır 991 | Polygon | 2.20 dolar | 6 ayda
Satır 991 | Polygon | 3.50 dolar | yıl sonunda
Satır 993 | Bütçe gelirleri | 6 trilyon TL | Yıl sonunda
Satır 993 | Bütçe giderleri | 7 trilyon TL | Yıl sonunda
Satır 994 | LVMH hisseleri | %25 değer kazanır | 1 yılda
Satır 994 | Hermes | %15 değer kazanır | 1 yılda
Satır 995 | Gram gümüş |  | 6 ayda
Satır 995 | Gram gümüş |  | yıl sonunda
Satır 996 | Arbitrum | 3.5 dolar | 3 ayda
Satır 996 | Arbitrum | 6 dolar | Yıl sonunda
Satır 998 | Şişecam | 85 TL | kısa vadede
Satır 998 | Şişecam | 140 TL | orta vadede
Satır 999 | Kahve fiyatları | %25 zamlanır | 6 ayda
Satır 999 | Kakao fiyatları | %10 geriler | 
Satır 1001 | Uranium fiyatları | %50 artar | yıl sonunda
Satır 1002 | Mavi Giyim | 200 TL | yıl sonunda
Satır 1002 | Vakko | 150 TL | yıl sonunda
Satır 1005 | MGROS | 750 TL | 
Satır 1005 | BIMAS | 600 TL | 6 ayda
Satır 1006 | Dolar | 34.10 TL | yarın
Satır 1006 | Dolar | 34.50 TL | hafta kapanışında
Satır 1007 | Enflasyon hedefim | %15 | 2026
Satır 1007 | Enflasyon hedefim | %8 | 2027
Satır 1011 | Gümüş ons fiyatı | 30 doları | yarın
Satır 1011 | Gümüş ons fiyatı | 35 doları | ay sonunda
Satır 1012 | AMD | 250 dolar | 
Satır 1012 | Intel | 55 dolar | 
